User Count,Total Request Count,Total Average Response Time,Requests/s
0,0,0.0,0
10,558,17.156,0
20,1115,25.522,0
30,1694,31.6,271
50,2179,41.231,427
60,2699,50.484,478
70,3246,57.59,492
80,3800,65.021,486
90,4336,74.318,500
100,4852,81.226,511
110,5387,89.026,510
120,5928,99.886,513
130,6401,105.632,511
140,6851,119.611,540
150,7349,129.862,535
160,7849,136.507,515
170,8301,147.046,513
180,8839,154.399,517
190,9200,163.455,506
200,9760,174.369,499
210,10291,180.764,490
220,10782,191.111,486
230,11348,197.67,488
240,11849,207.91,485
250,12265,216.77,485
260,12639,230.313,500
